TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
558614,6/30/2019,21908,Chocolate This Way Metal Sign,14.48,1,14614.0,United Kingdom
555979,06/08/2019,79030D,Tumbler Baroque,10.65,6,15039.0,United Kingdom
577844,11/22/2019,22423,Regency Cakestand 3 Tier,35.83,13,16844.0,United Kingdom
561585,7/28/2019,21535,Red Retrospot Small Milk Jug,12.86,6,13728.0,United Kingdom
575367,11/09/2019,22578,Wooden Star Christmas Scandinavian,10.55,48,15114.0,United Kingdom
560700,7/20/2019,23201,Jumbo Bag Alphabet,6.19,3,17229.0,United Kingdom
578513,11/24/2019,22113,Grey Heart Hot Water Bottle,6.19,4,16609.0,United Kingdom
568491,9/27/2019,23426,Metal Sign Drop Your Pants,13.21,2,15443.0,United Kingdom
570228,10/09/2019,22151,Place Setting White Heart,10.68,5,15821.0,United Kingdom
540848,01/12/2019,21208,Pastel Colour Honeycomb Fan,11.95,1,17848.0,United Kingdom
553393,5/16/2019,22781,Gumball Magazine Rack,25.58,1,17393.0,United Kingdom
562602,08/08/2019,23289,Dolly Girl Childrens Bowl,11.53,8,12865.0,Austria
564758,8/30/2019,22993,Set Of 4 Pantry Jelly Moulds,12.77,1,15758.0,United Kingdom
580958,12/06/2019,23333,Ivory Wicker Heart Medium,6.19,4,17266.0,United Kingdom
574015,11/02/2019,23318,Box Of 6 Mini Vintage Crackers,12.8,3,15576.0,United Kingdom
572918,10/26/2019,85035C,Rose 3 Wick Morris Box Candle,11.53,24,14379.0,United Kingdom
579161,11/28/2019,75011,Blue Daisy Mobile,6.19,1,17379.0,United Kingdom
564755,8/30/2019,23173,Regency Teapot Roses,30.71,1,17755.0,United Kingdom
548449,3/31/2019,20685,Doormat Red Retrospot,18.4,2,14911.0,EIRE
559125,07/06/2019,23286,Blue Vintage Spot Beaker,11.12,8,13985.0,United Kingdom
567475,9/20/2019,21136,Painted Metal Pears Assorted,11.98,4,16360.0,United Kingdom
578459,11/24/2019,22338,Star Decoration Painted Zinc,6.19,96,12388.0,Australia
572550,10/24/2019,22095,Lads Only Tissue Box,12.77,2,12550.0,United Kingdom
564754,8/30/2019,21340,Classic Metal Birdcage Plant Holder,35.83,1,14754.0,United Kingdom
580367,12/02/2019,23526,Wall Art Dog Licence,7.24,4,13367.0,United Kingdom
575070,11/08/2019,22895,Set Of 2 Tea Towels Apple And Pears,13.58,1,17841.0,United Kingdom
561034,7/24/2019,22366,Doormat Airmail,18.4,1,15506.0,United Kingdom
541851,1/23/2019,21756,Bath Building Block Word,16.35,1,17841.0,United Kingdom
565930,09/08/2019,22729,Alarm Clock Bakelike Orange,14.09,4,12685.0,France
559035,07/05/2019,47566,Party Bunting,15.32,8,13695.0,United Kingdom
547068,3/20/2019,22381,Toy Tidy Pink Polkadot,12.4,10,13985.0,United Kingdom
559816,07/12/2019,21328,Balloons Writing Set,11.1,14,15816.0,United Kingdom
548780,04/04/2019,22651,Gentleman Shirt Repair Kit,11.12,12,13294.0,United Kingdom
578066,11/22/2019,23343,Jumbo Bag Vintage Christmas,6.19,1,14066.0,United Kingdom
556812,6/14/2019,22182,Cake Stand Victorian Filigree Small,14.48,1,15812.0,United Kingdom
561209,7/25/2019,21179,No Junk Mail Metal Sign,11.92,1,14209.0,United Kingdom
547570,3/24/2019,22227,Hanging Heart Mirror Decoration,10.92,24,13636.0,United Kingdom
566427,09/12/2019,23412,Heart Mirror Antique White,17.94,2,17433.0,United Kingdom
570410,10/10/2019,23275,Set Of 3 Hanging Owls Ollie Beak,11.53,12,16776.0,United Kingdom
558232,6/27/2019,22613,Pack Of 20 Spaceboy Napkins,11.12,1,17841.0,United Kingdom
561679,7/28/2019,85099B,Jumbo Bag Red Retrospot,6.19,10,15245.0,United Kingdom
569227,10/02/2019,23535,Wall Art Bicycle Safety,16.35,4,14051.0,United Kingdom
557937,6/23/2019,23269,Set Of 2 Ceramic Christmas Trees,13.24,1,12937.0,United Kingdom
578065,11/22/2019,84692,Box Of 24 Cocktail Parasols,11.1,1,15065.0,United Kingdom
558632,6/30/2019,22419,Lipstick Pen Red,10.68,24,17930.0,United Kingdom
548732,04/04/2019,22380,Toy Tidy Spaceboy,12.4,5,16142.0,United Kingdom
540995,1/13/2019,22074,6 Ribbons Shimmering Pinks,11.1,9,16995.0,United Kingdom
563036,08/11/2019,20972,Pink Cream Felt Craft Trinket Box,11.53,12,14868.0,United Kingdom
555383,06/02/2019,84987,Set Of 36 Teatime Paper Doilies,11.74,1,12517.0,Germany
577905,11/22/2019,82486,3 Drawer Antique White Wood Cabinet,18.6,12,15497.0,United Kingdom
550206,4/15/2019,22375,Airline Bag Vintage Jet Set Brown,18.75,1,16206.0,United Kingdom
573358,10/30/2019,23283,Doormat Vintage Leaf,18.71,2,17213.0,United Kingdom
566300,09/11/2019,22696,Wicker Wreath Large,12.25,6,18215.0,United Kingdom
553888,5/19/2019,22999,Travel Card Wallet Vintage Leaf,10.68,24,15201.0,United Kingdom
558774,07/04/2019,85019B,Blossom Images Notebook Set,12.77,1,14774.0,United Kingdom
543040,02/02/2019,16235,Recycled Pencil With Rabbit Eraser,10.47,16,17337.0,United Kingdom
549014,04/05/2019,22720,Set Of 3 Cake Tins Pantry Design,15.32,1,17841.0,United Kingdom
570688,10/11/2019,22423,Regency Cakestand 3 Tier,35.83,2,16688.0,United Kingdom
564725,8/28/2019,21371,Mirrored Wall Art Poppies,11.02,2,18041.0,United Kingdom
C542271,1/27/2019,84927D,La Palmiera Tile Hook,12.4,-2,12637.0,France
571270,10/16/2019,21794,Classic French Style Basket Natural,14.3,1,12940.0,United Kingdom
546136,03/09/2019,22960,Jam Making Set With Jars,18.75,2,13136.0,United Kingdom
577438,11/20/2019,22352,Lunch Box With Cutlery Retrospot,12.86,1,18118.0,United Kingdom
564162,8/23/2019,22668,Pink Baby Bunting,13.27,5,13481.0,United Kingdom
552257,05/08/2019,20728,Lunch Bag Cars Blue,5.97,10,16923.0,United Kingdom
563448,8/16/2019,22035,Vintage Caravan Greeting Card,10.68,12,15220.0,United Kingdom
547047,3/20/2019,72760B,Vintage Cream 3 Basket Cake Stand,18.95,32,14258.0,United Kingdom
565415,09/04/2019,21922,Union Stripe With Fringe Hammock,18.4,1,14067.0,United Kingdom
561870,7/31/2019,22301,Coffee Mug Cat + Bird Design,12.86,6,14911.0,EIRE
547938,3/28/2019,22288,Hanging Metal Rabbit Decoration,11.53,24,13901.0,United Kingdom
580750,12/06/2019,22628,Picnic Boxes Set Of 3 Retrospot,6.19,4,12749.0,United Kingdom
579187,11/28/2019,21356,Toast Its - Fairy Flower,6.19,7,13187.0,United Kingdom
547374,3/22/2019,22993,Set Of 4 Pantry Jelly Moulds,11.53,5,16110.0,United Kingdom
580983,12/06/2019,22356,Charlotte Bag Pink Polkadot,6.04,1,16983.0,United Kingdom
577078,11/17/2019,23208,Lunch Bag Vintage Leaf Design,7.24,2,17078.0,United Kingdom
547380,3/22/2019,85099B,Jumbo Bag Red Retrospot,6.13,2,16809.0,United Kingdom
555285,06/02/2019,84313C,Orange Tv Tray Table,12.25,186,14298.0,United Kingdom
550193,4/15/2019,22199,Frying Pan Red Retrospot,14.61,4,13952.0,United Kingdom
550311,4/17/2019,21179,No Junk Mail Metal Sign,11.53,1,16728.0,United Kingdom
541516,1/18/2019,21706,Folding Umbrella Red/White Polkadot,13.62,5,12516.0,Germany
560360,7/18/2019,23020,Glass Songbird Storage Jar,21.68,8,12744.0,Singapore
551277,4/27/2019,84755,Colour Glass T-Light Holder Hanging,10.92,8,13637.0,United Kingdom
565919,09/07/2019,23171,Regency Tea Plate Green,13.62,1,17919.0,United Kingdom
577768,11/21/2019,23510,Mini Playing Cards Gymkhana,11.1,1,13768.0,United Kingdom
540979,01/12/2019,22723,Set Of 6 Herb Tins Sketchbook,14.3,4,15727.0,United Kingdom
564189,8/23/2019,82484,Wood Black Board Ant White Finish,18.4,2,14769.0,United Kingdom
560926,7/22/2019,21381,Mini Wooden Happy Birthday Garland,13.62,1,17926.0,United Kingdom
559876,7/13/2019,22147,Feltcraft Butterfly Hearts,11.74,2,15752.0,United Kingdom
559904,7/13/2019,21669,Blue Stripe Ceramic Drawer Knob,11.53,12,13149.0,United Kingdom
571212,10/14/2019,22943,Christmas Lights 10 Vintage Baubles,15.32,4,12856.0,United Kingdom
567338,9/19/2019,17107D,Flower Fairy 5 Drawer Liners,12.86,6,14146.0,United Kingdom
562517,08/05/2019,22188,Black Heart Card Holder,14.3,1,15719.0,United Kingdom
573904,11/01/2019,23220,Reindeer Heart Decoration Gold,11.1,5,14505.0,United Kingdom
577020,11/17/2019,21804,White Christmas Garland Stars Trees,14.09,6,17147.0,United Kingdom
561209,7/25/2019,84659A,White Travel Alarm Clock,12.77,3,14209.0,United Kingdom
569827,10/06/2019,23343,Jumbo Bag Vintage Christmas,6.19,10,13591.0,United Kingdom
566669,9/14/2019,21479,White Skull Hot Water Bottle,14.09,4,18065.0,United Kingdom
545054,2/27/2019,22121,Noel Wooden Block Letters,16.35,1,14472.0,United Kingdom
546534,3/14/2019,21390,Filigris Heart With Butterfly,11.53,24,16150.0,United Kingdom
569148,9/30/2019,21890,S/6 Wooden Skittles In Cotton Bag,13.58,6,16613.0,United Kingdom
581217,12/08/2019,22171,3 Hook Photo Shelf Antique White,6.19,1,16217.0,United Kingdom
547248,3/22/2019,20973,12 Pencil Small Tube Woodland,11.53,2,17248.0,United Kingdom
559338,07/07/2019,22503,Cabin Bag Vintage Paisley,27.3,1,13338.0,United Kingdom
559831,7/13/2019,22385,Jumbo Bag Spaceboy Design,6.19,10,14709.0,United Kingdom
565231,09/02/2019,20977,36 Pencils Tube Woodland,12.77,1,17231.0,United Kingdom
549222,04/07/2019,22774,Red Drawer Knob Acrylic Edwardian,11.53,12,12347.0,Iceland
580135,12/01/2019,22909,Set Of 20 Vintage Christmas Napkins,6.19,2,14702.0,United Kingdom
552193,05/06/2019,22926,Ivory Giant Garden Thermometer,16.35,2,15114.0,United Kingdom
578258,11/23/2019,21873,If You Can't Stand The Heat Mug,6.13,2,13263.0,United Kingdom
550279,4/15/2019,21558,Skull Lunch Box With Cutlery,12.86,12,14700.0,United Kingdom
545227,03/01/2019,21094,Set/6 Red Spotty Paper Plates,11.12,24,12428.0,Finland
573345,10/30/2019,20992,Jazz Hearts Purse Notebook,10.65,3,17609.0,United Kingdom
540359,01/06/2019,20727,Lunch Bag Black Skull,5.97,20,18041.0,United Kingdom
563020,08/11/2019,22386,Jumbo Bag Pink Polkadot,6.19,20,12428.0,Finland
545226,03/01/2019,22796,Photo Frame 3 Classic Hanging,20.45,4,12428.0,Finland
568048,9/23/2019,84029E,Red Woolly Hottie White Heart,14.61,4,14911.0,EIRE
547649,3/24/2019,22520,Childs Garden Trowel Blue,11.12,4,18118.0,United Kingdom
C580263,12/02/2019,21872,Glamorous Mug,6.19,-12,12536.0,France
552229,05/06/2019,22413,Metal Sign Take It Or Leave It,16.18,1,15229.0,United Kingdom
557626,6/21/2019,22672,French Bathroom Sign Blue Metal,11.94,12,14175.0,United Kingdom
543369,02/07/2019,84378,Set Of 3 Heart Cookie Cutters,11.53,4,16255.0,United Kingdom
579938,12/01/2019,23349,Roll Wrap Vintage Christmas,6.19,12,14146.0,United Kingdom
549235,04/07/2019,22439,6 Rocket Balloons,10.92,4,15530.0,United Kingdom
581116,12/07/2019,22966,Gingerbread Man Cookie Cutter,6.04,6,17232.0,United Kingdom
567901,9/22/2019,23268,Set Of 2 Ceramic Christmas Reindeer,13.24,1,17901.0,United Kingdom
561894,7/31/2019,23032,Drawer Knob Crackle Glaze Ivory,11.94,1,14456.0,United Kingdom
557064,6/16/2019,23301,Gardeners Kneeling Pad Keep Calm,11.94,2,13263.0,United Kingdom
561034,7/24/2019,21901,Key Fob Back Door,10.92,2,15506.0,United Kingdom
562955,08/11/2019,22470,Heart Of Wicker Large,16.18,4,13955.0,United Kingdom
553015,05/12/2019,22502,Picnic Basket Wicker Small,16.35,1,12748.0,United Kingdom
541279,1/17/2019,22132,Red Love Heart Shape Cup,11.12,12,18223.0,United Kingdom
540026,01/04/2019,21065,Boom Box Speaker Girls,13.69,1,12026.0,United Kingdom
544478,2/21/2019,21749,Large Red Retrospot Windmill,12.15,216,16333.0,United Kingdom
544792,2/23/2019,22726,Alarm Clock Bakelike Green,14.09,8,18172.0,United Kingdom
561519,7/27/2019,22539,Mini Jigsaw Dolly Girl,10.68,1,17870.0,United Kingdom
554645,5/25/2019,21563,Red Heart Shape Love Bucket,13.27,5,17770.0,United Kingdom
569223,10/02/2019,23311,Vintage Christmas Stocking,12.86,8,16283.0,United Kingdom
557938,6/23/2019,22725,Alarm Clock Bakelike Chocolate,17.9,1,14938.0,United Kingdom
580727,12/05/2019,22124,Set Of 2 Tea Towels Ping Microwave,6.13,5,14096.0,United Kingdom
567327,9/19/2019,22197,Popcorn Holder,11.12,48,13102.0,United Kingdom
577358,11/18/2019,23583,Lunch Bag Paisley Park,7.24,2,12358.0,Austria
551997,05/05/2019,20886,Box Of 9 Pebble Candles,14.48,1,14997.0,United Kingdom
556071,06/08/2019,82551,Laundry 15c Metal Sign,11.74,12,15974.0,United Kingdom
571104,10/13/2019,21212,Pack Of 72 Retrospot Cake Cases,10.81,24,18130.0,United Kingdom
571158,10/14/2019,22093,Motoring Tissue Box,10.65,1,14606.0,United Kingdom
564666,8/26/2019,21578,Woodland Design Cotton Tote Bag,12.56,6,12492.0,Germany
554933,5/27/2019,22066,Love Heart Trinket Pot,10.65,10,13232.0,United Kingdom
544660,2/22/2019,22748,Poppy's Playhouse Kitchen,12.4,6,15078.0,United Kingdom
567668,9/21/2019,21944,Kittens Design Flannel,11.92,1,14668.0,United Kingdom
578517,11/24/2019,22578,Wooden Star Christmas Scandinavian,7.24,48,16523.0,United Kingdom
544592,2/21/2019,82483,Wood 2 Drawer Cabinet White Finish,17.37,2,16775.0,United Kingdom
545695,03/06/2019,22279,Pocket Bag Blue Paisley Red Spot,11.53,5,17050.0,United Kingdom
553887,5/19/2019,23298,Spotty Bunting,15.32,12,17068.0,United Kingdom
575929,11/11/2019,22601,Christmas Retrospot Angel Wood,11.12,12,13310.0,United Kingdom
563926,8/21/2019,22385,Jumbo Bag Spaceboy Design,6.19,10,12553.0,France
547385,3/22/2019,22745,Poppy's Playhouse Bedroom,14.48,1,17385.0,United Kingdom
564315,8/24/2019,22505,Memo Board Cottage Design,15.32,1,14730.0,United Kingdom
547830,3/25/2019,22628,Picnic Boxes Set Of 3 Retrospot,20.46,1,12830.0,United Kingdom
574864,11/07/2019,23536,Wall Art Village Show,16.35,2,14387.0,United Kingdom
571408,10/17/2019,85035C,Rose 3 Wick Morris Box Candle,11.53,1,15012.0,United Kingdom
576603,11/15/2019,48187,Doormat New England,18.71,2,14911.0,EIRE
552023,05/05/2019,22831,White Brocante Soap Dish,13.27,6,17624.0,United Kingdom
580636,12/05/2019,21284,Retrospot Candle Small,6.19,12,16746.0,United Kingdom
557009,6/16/2019,22609,Pens Assorted Spaceball,10.44,36,14321.0,United Kingdom
550775,4/20/2019,23207,Lunch Bag Alphabet Design,5.97,10,15805.0,United Kingdom
550160,4/14/2019,22041,"Record Frame 7"" Single Size",12.4,48,17930.0,United Kingdom
549263,04/07/2019,22722,Set Of 6 Spice Tins Pantry Design,14.3,4,15800.0,United Kingdom
568650,9/28/2019,22080,Ribbon Reel Polkadots,11.94,10,13505.0,Switzerland
580612,12/05/2019,22422,Toothpaste Tube Pen,7.88,1,13612.0,United Kingdom
566518,9/13/2019,21034,Rex Cash+Carry Jumbo Shopper,11.22,1,17779.0,United Kingdom
543288,02/07/2019,22969,Homemade Jam Scented Candles,11.74,12,17302.0,United Kingdom
581134,12/07/2019,23561,Set Of 6 Ribbons Party,6.02,2,16368.0,United Kingdom
578017,11/22/2019,21931,Jumbo Storage Bag Suki,12.38,1,13569.0,United Kingdom
550513,4/18/2019,21561,Dinosaur Lunch Box With Cutlery,12.86,4,16928.0,United Kingdom
567665,9/21/2019,85087,Candy Spot Cushion Cover,13.62,1,16665.0,United Kingdom
540288,01/06/2019,48185,Doormat Fairy Cake,18.4,1,17634.0,United Kingdom
545915,03/08/2019,22241,Garland Wooden Happy Easter,11.53,24,17419.0,United Kingdom
543668,02/11/2019,22750,Feltcraft Princess Lola Doll,14.09,1,18118.0,United Kingdom
546136,03/09/2019,22728,Alarm Clock Bakelike Pink,17.9,3,13136.0,United Kingdom
541424,1/17/2019,22182,Cake Stand Victorian Filigree Small,14.48,1,15424.0,United Kingdom
568346,9/26/2019,22174,Photo Cube,13.62,3,14096.0,United Kingdom
575167,11/08/2019,23058,Christmas Hanging Snowflake,11.06,12,15153.0,United Kingdom
560256,7/17/2019,22673,French Garden Sign Blue Metal,11.53,4,14462.0,United Kingdom
576779,11/16/2019,22622,Box Of Vintage Alphabet Blocks,22.5,1,14554.0,United Kingdom
560696,7/20/2019,18098C,Porcelain Butterfly Oil Burner,13.27,2,14606.0,United Kingdom
578845,11/25/2019,23524,Wall Art Horse & Pony,7.24,1,12845.0,United Kingdom
571238,10/14/2019,23541,Wall Art Classic Puddings,18.71,2,14290.0,United Kingdom
C580966,12/06/2019,23212,Heart Wreath Decoration With Bell,7.24,-12,16554.0,United Kingdom
570872,10/12/2019,84031A,Charlie+Lola Red Hot Water Bottle,14.48,1,17872.0,United Kingdom
556237,06/09/2019,20725,Lunch Bag Red Retrospot,7.24,1,13237.0,United Kingdom
564758,8/30/2019,90129A,Pink Glass Tassle Bag Charm,11.92,2,15758.0,United Kingdom
551997,05/05/2019,23194,Gymkhana Treasure Book Box,14.94,2,14997.0,United Kingdom
540813,01/11/2019,22208,Wood Stamp Set Thank You,11.94,1,14669.0,United Kingdom
544476,2/21/2019,22649,Strawberry Fairy Cake Teapot,15.32,4,14796.0,United Kingdom
578066,11/22/2019,23681,Lunch Bag Red Vintage Doily,5.97,1,14066.0,United Kingdom
545419,03/02/2019,84913B,Mint Green Rose Towel,15.02,4,15104.0,United Kingdom
543629,02/10/2019,21889,Wooden Box Of Dominoes,13.62,1,15629.0,United Kingdom
547547,3/23/2019,21340,Classic Metal Birdcage Plant Holder,35.83,1,15547.0,United Kingdom
578302,11/23/2019,23582,Vintage Doily Jumbo Bag Red,7.24,10,16057.0,United Kingdom
560772,7/20/2019,22951,60 Cake Cases Dolly Girl Design,10.81,10,16772.0,United Kingdom
578307,11/23/2019,21169,You're Confusing Me Metal Sign,6.13,1,17290.0,United Kingdom
564837,8/30/2019,23204,Charlotte Bag Apples Design,11.92,1,16837.0,United Kingdom
569250,10/03/2019,22736,Ribbon Reel Making Snowmen,11.94,10,16747.0,United Kingdom
565316,09/02/2019,22144,Christmas Craft Little Friends,12.4,6,15628.0,United Kingdom
